SKU (do not edit),Product Name (do not edit),Category (do not edit),Machine Tier [EDIT: trade / professional / industrial],List Price RM [EDIT — REQUIRED],Diameter [EDIT — e.g. 230mm or 9″],Arbor Size [EDIT — e.g. 22.23mm or M14],Segment Height [EDIT — e.g. 10mm],Bond Type [EDIT: soft / medium / hard / extraHard],Max RPM [EDIT — e.g. 6650],YouTube URL [EDIT — full https:// link],Notes for me [optional — anything you want flagged]
WBS153E,WBS153E,Cutting Machines,Industrial,0,"26""",,,,,,
TS73R,TS73R,Cutting Machines,Industrial,0,730mm,,,,,,
FS_400_LV,FS 400 LV,Cutting Machines,Industrial,0,,,,,,,
FS_524,FS 524,Cutting Machines,Industrial,0,,,,,,,
K3000_VAC.,K3000 VAC.,Cutting Machines,Industrial,0,,,,,,,
K3000_WET,K3000 WET,Cutting Machines,Industrial,0,,,,,,,
K970,K970,Cutting Machines,Industrial,0,,,,,,,
SS-300R,SS-300R,Cutting Machines,Industrial,0,,,,,,,
TS350E,TS350E,Cutting Machines,Industrial,0,,,,,,,
TS66R,TS66R,Cutting Machines,Industrial,0,,,,,,,
PG280,PG280,Floor Equipment,Industrial,0,,,,,,,
QUX-1,QUX-1,Floor Equipment,Industrial,0,,,,,,,
MCTR,MCTR,Hole Saws,Trade,0,,,,,,,
META-CORE_1,Meta-Core 1,Hole Saws,Trade,0,,,,,,,
4-CUTTER_SDS_PLUS_DRILL_BIT_18MM,4-Cutter SDS Plus Drill Bit Ø18mm,Anchor Removal Tools,Trade,0,18mm,,,,,,
CA12_DROP_IN_ANCHOR,CA12 Drop In Anchor,Anchor Removal Tools,Trade,0,,,,,,,
1_2″_DROP_IN_ANCHOR,1/2″ Drop In Anchor,Accessories & Parts,Trade,0,"2""",,,,,,
DROP_IN_ANCHOR_ROD_1_2″,Drop In Anchor Rod 1/2″,Accessories & Parts,Trade,0,"2""",,,,,,
COOLGREEN_160MM,CoolGreen 160mm,Accessories & Parts,Trade,0,160mm,,,,,,
COOLGREEN_170MM,CoolGreen 170mm,Accessories & Parts,Trade,0,170mm,,,,,,
COOLGREEN_180MM,CoolGreen 180mm,Accessories & Parts,Trade,0,180mm,,,,,,
ANCHOR_RESETTER,Anchor Resetter,Accessories & Parts,Trade,0,,,,,,,
AUTOMATIC_FEEDING_SYSTEM_AFS,Automatic Feeding System AFS,Accessories & Parts,Trade,0,,,,,,,
BIT_REMOVAL_TOOL,Bit Removal Tool,Accessories & Parts,Trade,0,,,,,,,
CENTERING_SOCKET,Centering Socket,Accessories & Parts,Trade,0,,,,,,,
CONE_CATHETER,Cone Catheter,Accessories & Parts,Trade,0,,,,,,,
DIAMOND_BIT_OPENER,Diamond Bit Opener,Accessories & Parts,Trade,0,,,,,,,
EXTENSION_BARS,Extension Bars,Accessories & Parts,Trade,0,,,,,,,
FEMALE_COUPLING,Female Coupling,Accessories & Parts,Trade,0,,,,,,,
FOOT_BASE_ASPHALT_CORE,Foot Base Asphalt Core,Accessories & Parts,Trade,0,,,,,,,
HAMMERING_TOOL,Hammering Tool,Accessories & Parts,Trade,0,,,,,,,
M12_CROWN_ANCHOR_ROD,M12 Crown Anchor Rod,Accessories & Parts,Trade,0,,,,,,,
